Business Name,Address of establishment,Town,Type of cuisine,Average price,Business hours,Average rating,Number of reviews,Date of last rating,Position in the ranking,Minimum Price,Maximum Price,Month,Year Of Rating,Price Range,Rating Label
Arte y Cocina Restaurant,"Calle de Miguel de Cervantes 15, 29640 Fuengirola Spain", Los Boliches,"International, Italian, Mediterranean, European",19.93 - 49.83,Tue - Sun : 7:00 PM - 11:00 PM,5.0,619,"January 15, 2022",8,19.93,49.83,January 15, 2022,Average,Excellent
The B's Knees,"Paseo Maritimo Rey de Espana 11, 29640 Fuengirola Spain", Los Boliches,"Bar, Cafe, British, Healthy, Gastropub",2.99 - 14.95,Wed - Mon : 9:30 AM - 5:00 PM,5.0,138,"January 15, 2022",7,2.99,14.95,January 15, 2022,Cheap,Excellent
GastroVinum,"Calle Palangreros 22, 29640 Fuengirola Spain", Los Boliches,"Belgian, Mediterranean, European, Wine Bar, International, Fusion",3.98 - 15.95,Thu - Sun : 7:00 PM - 10:30 PM,5.0,270,"November 11, 2021",12,3.98,15.95,November 11, 2021,Cheap,Excellent
Lotus Steak & Burger House,"Paseo Maritimo Rey de Espana 10, 29640 Fuengirola Spain", Los Boliches,"Italian, Mexican, International, Steakhouse",2.99 - 20.93,Thu - Tue : 1:00 PM - 11:00 PM,5.0,255,"December 30, 2021",10,2.99,20.93,December 30, 2021,Cheap,Excellent
Happy Flavors,"Rey de España 43 Paseo Maritimo, 29640 Fuengirola Spain", Los Boliches,Indian,9.96 - 34.88,Sun - Sat : 12:00 PM - 12:00 AM,5.0,253,"November 28, 2021",11,9.96,34.88,November 28, 2021,Cheap,Excellent
La Marmita,"2 Calle Pedrosa Los Boliches, 29640 Fuengirola Spain", Los Boliches,"Mediterranean, International",26.91 - 47.84,Tue - Sun : 6:30 PM - 9:00 PM,5.0,744,"December 1, 2021",13,26.91,47.84,December 1, 2021,Average,Excellent
Pasapalo,"Avenida De La Encarnacion centro comercial miramar A30, 29640 Fuengirola Spain", Los Boliches,"Spanish, European, Healthy, Venezuelan",2.99 - 14.95,Sun - Sat : 10:00 AM - 11:30 PM,4.5,623,"November 15, 2021",16,2.99,14.95,November 15, 2021,Cheap,Excellent
Munchies Smokehouse & Bar,"Paseo Maritimo Rey de Espana 43, 29640 Fuengirola Spain", Los Boliches,"Pub, American, Bar, Barbecue, European, Street Food",4.99 - 14.95,"Wed - Fri : 6:00 PM - 10:00 PM
Sat - Sun : 4:00 PM - 10:00 PM",5.0,935,"January 15, 2022",17,4.99,14.95,January 15, 2022,Cheap,Excellent
Aroma,"Calle Moncayo 23, 29640 Fuengirola Spain", Los Boliches,"Steakhouse, Barbecue, Spanish, Mediterranean, European, International",19.93 - 50.83,"Wed - Mon : 12:30 PM - 3:30 PM,  6:15 PM - 11:00 PM",5.0,411,"January 11, 2022",20,19.93,50.83,January 11, 2022,Average,Excellent
All Andalus,"Calle Olleria 24, 29640 Fuengirola Spain", Los Boliches,"Mediterranean, Spanish, Healthy, Wine Bar",9.96 - 44.84,"Tue - Sun : 1:00 PM - 4:00 PM
Tue - Sat : 7:00 PM - 11:00 PM",5.0,548,"January 15, 2022",22,9.96,44.84,January 15, 2022,Cheap,Excellent
Don Julian Gastrobar,"Calle Marbella 41 Calle peatonal, 29640 Fuengirola Spain", Los Boliches,Spanish,9.96 - 29.89,"Mon - Thu : 12:00 PM - 11:00 PM
Fri - Sun : 12:00 PM - 11:30 PM",4.5,203,"November 7, 2021",29,9.96,29.89,November 7, 2021,Cheap,Excellent
Tako Boy,"Calle Francisco Cano 28 Fuengirola Malaga, 29640 Fuengirola Spain", Los Boliches,"Japanese, Asian",9.96 - 24.91,"Sun - Sat : 2:00 PM - 4:30 PM
Wed - Mon : 7:30 PM - 9:00 PM",4.5,216,"August 21, 2021",28,9.96,24.91,August 21, 2021,Cheap,Excellent
Casa Mavi italian restaurant and pizzeria,"Avenida de los Boliches 106, 29640 Fuengirola Spain", Los Boliches,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian",7.97 - 14.95,"Mon - Thu : 7:00 PM - 11:00 PM
Mon - Sat : 1:00 PM - 4:00 PM
Fri - Sat : 7:00 PM - 11:30 PM",4.5,507,"July 1, 2021",4,7.97,14.95,July 1, 2021,Cheap,Excellent
Habla Pez,"Paseo Marítimo Playamar a Pie de Playa, 29620 Torremolinos Spain", La Carihuela,"Seafood, Mediterranean, Spanish, Grill",3.98 - 38.87,Sun - Sat : 9:00 AM - 12:00 AM,3.5,121,"January 16, 2022",297,3.98,38.87,January 16, 2022,Cheap,Average
Asador Gastrogaucho Malbec Wine Club,"Avenida las Palmeras 10, 29631, Benalmadena Spain", La Carihuela,"Steakhouse, Barbecue, Argentinean, Latin, Grill",4.99 - 19.93,"Mon - Thu : 7:30 PM - 10:30 PM
Tue - Sat : 1:30 PM - 4:00 PM
Fri - Sat : 7:30 PM - 11:00 PM",5.0,238,"January 4, 2022",1,4.99,19.93,January 4, 2022,Cheap,Excellent
Pirañaconda Restaurante,"Avenida de las Palmeras 22 Local 8, 29630, Benalmadena Spain", La Carihuela,"Japanese, Asian, Thai, Vietnamese, Indonesian, Sushi, Healthy",13.95 - 49.83,"Tue - Sun : 1:00 PM - 4:00 PM
Tue - Sat : 7:30 PM - 11:30 PM",5.0,106,"January 21, 2022",2,13.95,49.83,January 21, 2022,Average,Excellent
Tedone Jatetxea,"Calle Corta Street 10 Calle pequeña transversal a la Calle Miracruz, 20001 San Sebastian - Donostia Spain", La Concha Beach,"Spanish, Healthy, Fusion",12.96 - 35.88,"Sun - Sat : 1:00 PM - 3:30 PM,  8:15 PM - 11:00 PM",4.5,1725,"January 24, 2022",40,12.96,35.88,January 24, 2022,Average,Excellent
Boo'z Inn,"Avenida de la Roca Number 5, 29830, Benalmadena Spain", La Carihuela,"Bar, European, British, Diner",2.99 - 23.91,Wed - Mon : 11:00 AM - 11:45 PM,5.0,156,"November 29, 2021",6,2.99,23.91,November 29, 2021,Cheap,Excellent
Serendipia Slow Food & Bar,"Calle Casablanca 20, local 5. Serendipia Slow Food & Bar, 29620 Torremolinos Spain", La Carihuela,"Mediterranean, European, Spanish, Healthy, Fusion",14.95 - 24.91,"Sun : 1:30 PM - 5:00 PM
Tue - Sat : 1:00 PM - 4:00 PM,  8:00 PM - 11:45 PM",5.0,351,"October 13, 2021",2,14.95,24.91,October 13, 2021,Average,Excellent
Casero,"Calle Skal 4 Pueblo Blanco, 29620 Torremolinos Spain", La Carihuela,"Spanish, Mediterranean, European, Healthy, Arabic",2.0 - 18.93,Thu - Mon : 7:00 PM - 11:00 PM,5.0,1271,"January 17, 2022",1,2.0,18.93,January 17, 2022,Cheap,Excellent
Restaurante Casa Paco PLAYA,"Paseo Marítimo Playamar, s/n Local 4, 29620 Torremolinos Spain", La Carihuela,"Seafood, Mediterranean, European, Spanish",14.95 - 49.83,Sun - Sat : 10:00 AM - 11:30 PM,4.0,237,"November 3, 2019",159,14.95,49.83,November 3, 2019,Average,Excellent
Ibiza Style Bar Restaurant,"Calle Skal 4, 29620 Torremolinos Spain", La Carihuela,"Mediterranean, European, Grill",5.98 - 23.91,Thu - Tue : 7:00 PM - 11:30 PM,5.0,1022,"January 2, 2022",5,5.98,23.91,January 2, 2022,Cheap,Excellent
El Patito Beach Bar & Snacks,"Paseo Maritimo 1K Roca Chica A, 29620 Torremolinos Spain", La Carihuela,"Bar, European, Danish, International, Argentinean, South American",2.0 - 24.91,"Sun : 12:00 PM - 7:00 PM
Wed - Thu : 12:00 PM - 7:00 PM
Fri - Sat : 12:00 PM - 11:30 PM",5.0,114,"August 16, 2021",3,2.0,24.91,August 16, 2021,Cheap,Excellent
The Carvery,"Calle Saltillo Montemar, 29620 Torremolinos Spain", La Carihuela,"Bar, European, British",9.96 - 14.95,"Wed - Fri : 5:00 PM - 11:00 PM
Sat - Sun : 12:30 PM - 11:00 PM",5.0,1734,"January 23, 2022",8,9.96,14.95,January 23, 2022,Cheap,Excellent
ANGUS Playamar,"Paseo Maritimo 69 Playamar, 29620 Torremolinos Spain", La Carihuela,"Steakhouse, Gastropub, Spanish, Healthy, Mediterranean, Grill",4.99 - 24.91,Sun - Sat : 1:00 PM - 12:00 AM,5.0,123,"January 17, 2022",9,4.99,24.91,January 17, 2022,Cheap,Excellent
Alvocat Vegan & Vegetarian Restaurant,"C/ La Nau 6 A 20 metros del Carrer Major, 1 min de plaça de la Font., 43003 Tarragona Spain", Amfiteatre de Tarragona,"Mediterranean, Spanish, Healthy, International, Fusion",17.66 - 30.91,"Wed - Mon : 8:30 PM - 11:30 PM
Thu - Mon : 1:00 PM - 3:30 PM",4.5,243,"January 7, 2022",4,17.66,30.91,January 7, 2022,Average,Excellent
Restaurante Raco de l'abat,"Carrer de l'abat, 2 Part Alta, 43003 Tarragona Spain", Amfiteatre de Tarragona,"Seafood, Mediterranean, Healthy, Catalan",0.11 - 0.24,"Sun : 1:15 PM - 2:00 PM
Wed - Fri : 1:15 PM - 4:00 PM
Sat : 8:30 AM - 11:00 PM",4.5,838,"October 15, 2021",5,0.11,0.24,October 15, 2021,Cheap,Excellent
ELIAN Restaurant,"Ramon i Cajal 22 Bajos, 43001 Tarragona Spain", Amfiteatre de Tarragona,"Mediterranean, European, Spanish",12.96 - 21.93,Mon - Sat : 1:15 PM - 4:00 PM,4.5,219,"August 4, 2020",8,12.96,21.93,August 4, 2020,Average,Excellent
Arcs Restaurant,"C. Misser Sitges, 13 Parte Alta, 43003 Tarragona Spain", Amfiteatre de Tarragona,"Mediterranean, European, Spanish, Catalan",19.93 - 46.84,"Tue - Sun : 1:00 PM - 3:30 PM
Fri - Sat : 8:30 PM - 10:30 PM",4.5,939,"September 3, 2021",9,19.93,46.84,September 3, 2021,Average,Excellent
La Caleta,"Passeig Maritim de Rafael de Casanova, 24, 43007 Tarragona Spain", Amfiteatre de Tarragona,"Mediterranean, European, Spanish",37.87 - 47.84,"Tue - Sun : 1:30 PM - 4:00 PM
Fri - Sat : 8:30 PM - 11:00 PM",4.5,275,"December 9, 2021",10,37.87,47.84,December 9, 2021,Average,Excellent
VaDeGust,"C/Sevilla, 5, 43001 Tarragona Spain", Amfiteatre de Tarragona,"Mediterranean, Spanish, Healthy",19.93 - 39.86,"Tue - Sun : 1:00 PM - 4:00 PM
Fri - Sat : 9:00 PM - 10:30 PM",4.5,319,"September 26, 2020",11,19.93,39.86,September 26, 2020,Average,Excellent
El Taller,"Carrer Sant Pere 14 Barri del Serrallo, 43004 Tarragona Spain", Amfiteatre de Tarragona,"Mediterranean, European, Spanish, Fusion",19.93 - 39.86,"Wed - Sun : 1:15 PM - 4:00 PM
Thu - Sat : 8:30 PM - 11:00 PM",4.5,391,"November 30, 2021",13,19.93,39.86,November 30, 2021,Average,Excellent
La Cuineta,"Carrer Nou Patriarca, 2 Bis Cas Antic, 43003 Tarragona Spain", Amfiteatre de Tarragona,"Mediterranean, European, Spanish, Healthy, Catalan",0.1 - 0.15,Wed - Mon : 8:00 AM - 4:00 PM,4.5,1374,"December 20, 2021",12,0.1,0.15,December 20, 2021,Cheap,Excellent
Les Fonts de Can Sala,"Cami Servitud VI, 43007 Tarragona Spain", Circ Roma,"Mediterranean, Healthy, Catalan",17.94 - 34.88,Wed - Mon : 1:00 PM - 3:30 PM,4.5,223,"May 6, 2018",14,17.94,34.88,May 6, 2018,Average,Excellent
Mendaur Berria,"Fermin Calbeton Kalea, 8, 20003 San Sebastian - Donostia Spain", La Concha Beach,"Mediterranean, European, Spanish, Fusion, Healthy, Gastropub",4.99 - 996.54,Thu - Tue : 10:00 AM - 12:00 AM,5.0,1077,"January 24, 2022",1,4.99,996.54,January 24, 2022,Cheap,Excellent
Trikuharri Taberna Jatetxea,"Matia Kalea, 35, 20008 San Sebastian - Donostia Spain", La Concha Beach,"Bar, European",5.98 - 39.86,"Sun : 10:00 AM - 5:00 PM
Tue - Fri : 8:00 AM - 11:45 PM
Sat : 10:00 AM - 11:45 PM",4.5,541,"November 22, 2021",4,5.98,39.86,November 22, 2021,Cheap,Excellent
Bar Sport,"Fermin Calbeton, 10, 20003 San Sebastian - Donostia Spain", La Concha Beach,"Bar, European, Spanish",9.96 - 9.96,"Sun : 11:00 AM - 12:00 AM
Mon - Fri : 9:00 AM - 12:00 AM
Sat : 10:00 AM - 12:00 AM",4.5,2853,"January 8, 2022",3,9.96,9.96,January 8, 2022,Cheap,Excellent
Ristorante Civico 14,"Paseo Duque de Mandas, 35 Bajo, 20012 San Sebastian - Donostia Spain", La Concha Beach,"Italian, Mediterranean, Tuscan, Sardinian, Central-Italian",13.95 - 44.84,"Sun : 1:00 PM - 4:00 PM
Tue - Fri : 8:00 PM - 10:30 PM
Tue - Sat : 1:00 PM - 3:30 PM
Sat : 8:00 PM - 11:00 PM",4.5,173,"December 13, 2021",5,13.95,44.84,December 13, 2021,Average,Excellent
La Madame,"Calle San Bartolome 35, 20007 San Sebastian - Donostia Spain", La Concha Beach,"Healthy, International",19.43 - 32.68,"Mon : 6:00 PM - 1:00 AM
Wed : 6:00 PM - 1:00 AM
Thu : 6:00 PM - 2:00 AM
Fri : 6:00 PM - 4:00 AM
Sat - Sun : 11:00 AM - 4:00 PM,  8:00 PM - 12:00 AM",4.5,1191,"January 1, 2022",6,19.43,32.68,January 1, 2022,Average,Excellent
South Beach Restobar,"Avenida de Antonio Machado 57 Complejo las gaviotas local 31-32, 29630, Benalmadena Spain", La Carihuela,"Bar, Mediterranean, European, Spanish",2.0 - 14.95,"Sun : 12:00 PM - 9:00 PM
Mon : 12:00 PM - 6:00 PM
Wed : 12:00 PM - 6:00 PM
Thu - Sat : 12:00 PM - 10:00 PM",5.0,176,"October 18, 2021",9,2.0,14.95,October 18, 2021,Cheap,Excellent
Pocho's Bar,"Avenida de Mijas No 1 Loc 3, 29630, Benalmadena Spain", La Carihuela,"Steakhouse, Latin, Bar, International, Venezuelan",6.97 - 32.88,Wed - Mon : 1:00 PM - 11:00 PM,5.0,216,"January 25, 2022",12,6.97,32.88,January 25, 2022,Cheap,Excellent
All Grill,"Avenida de Antonio Machado # 5, 29630, Benalmadena Spain", La Carihuela,American,14.95 - 29.89,"Mon - Tue : 1:15 PM - 11:00 PM
Thu : 1:15 PM - 11:00 PM
Fri - Sun : 1:15 PM - 11:30 PM",5.0,750,"January 27, 2022",11,14.95,29.89,January 27, 2022,Average,Excellent
Bacchus' Terrace,"Avenida de Antonio Machado 57 LAS GAVIOTAS Local 20 - Roof Terrace Paseo Maritimo 1a Planta, 29630, Benalmadena Spain", La Carihuela,"Pub, Italian, Bar, Gastropub",2.0 - 6.97,Wed - Mon : 1:30 PM - 10:30 PM,5.0,468,"January 22, 2022",13,2.0,6.97,January 22, 2022,Cheap,Excellent
The Lime Avenue,"Calle de Antonio Navajas Ruiz 2 Local 5, 29620 Torremolinos Spain", La Carihuela,"Irish, Cafe, European, British",2.99 - 14.95,"Sun : 9:30 AM - 10:00 PM
Mon - Sat : 9:00 AM - 9:00 PM",5.0,336,"January 23, 2022",10,2.99,14.95,January 23, 2022,Cheap,Excellent
Multanis Black Angus Grill,"Calle Bulto 62, 29620 Torremolinos Spain", La Carihuela,Mexican,2.99 - 34.88,"Tue : 4:00 PM - 11:00 PM
Wed - Mon : 1:00 PM - 11:00 PM",4.5,203,"November 21, 2021",13,2.99,34.88,November 21, 2021,Cheap,Excellent
Gastrobar Restaurant Florín,"Calle Francia 50 In Carihuela, next to the Eurocafe, in front of the big outdoor Parking, 29620 Torremolinos Spain", La Carihuela,"Seafood, Mediterranean, International, Contemporary, Fusion",4.99 - 49.83,Wed - Mon : 7:00 PM - 11:00 PM,5.0,247,"August 20, 2021",11,4.99,49.83,August 20, 2021,Cheap,Excellent
Zabor Fetén,"Calle de la Cruz 10, 29620 Torremolinos Spain", La Carihuela,"Mediterranean, Spanish, Healthy, Contemporary, Gastropub",4.99 - 17.94,"Sun : 8:00 PM - 11:00 PM
Tue - Sun : 12:00 PM - 4:00 PM
Tue - Sat : 8:00 PM - 12:00 AM",5.0,155,"December 29, 2021",14,4.99,17.94,December 29, 2021,Cheap,Excellent
BelGuNa,"Calle Salvador Allende 60 Lokaal 3, 29620 Torremolinos Spain", La Carihuela,"Belgian, European",2.0 - 19.93,Thu - Mon : 11:00 AM - 7:00 PM,5.0,82,"December 5, 2021",12,2.0,19.93,December 5, 2021,Cheap,Excellent
The Wala Room,"Calle Toja 1 Local 7, 29620 Torremolinos Spain", La Carihuela,European,9.96 - 19.93,"Thu - Sun : 1:00 PM - 4:00 PM
Fri - Sat : 8:00 PM - 10:00 PM",5.0,245,"November 14, 2021",15,9.96,19.93,November 14, 2021,Cheap,Excellent
T Kippenhuis,"Calle Decano Higueras del Castillo 67, 29620 Torremolinos Spain", La Carihuela,"Dutch, European",11.96 - 15.95,Thu - Mon : 6:00 PM - 12:00 AM,5.0,245,"December 28, 2021",16,11.96,15.95,December 28, 2021,Average,Excellent
Il Pescatore,"Calle de La Playa n. 24 Zona Playamar, 29620 Torremolinos Spain", La Carihuela,"Italian, Pizza, Seafood, Mediterranean, Sicilian, Southern-Italian, Grill",9.96 - 34.88,"Tue - Sun : 1:00 PM - 5:00 PM,  7:00 PM - 12:00 AM",5.0,319,"October 10, 2021",17,9.96,34.88,October 10, 2021,Cheap,Excellent
Ela's Gastrobar,"Calle Bajondillo # 21, 29620 Torremolinos Spain", La Carihuela,"Mediterranean, European, Central European",3.98 - 21.93,"Thu - Sun : 1:00 PM - 4:00 PM
Thu - Sat : 7:00 PM - 11:00 PM",4.5,229,"October 10, 2021",19,3.98,21.93,October 10, 2021,Cheap,Excellent
4 Cuartos,"Calle Casablanca 27, 29620 Torremolinos Spain", La Carihuela,"Mediterranean, European, Spanish, Contemporary, Fusion",4.99 - 9.96,"Fri - Tue : 1:30 PM - 4:00 PM,  8:00 PM - 11:30 PM",4.5,779,"September 27, 2021",22,4.99,9.96,September 27, 2021,Cheap,Excellent
Meatina Steakhouse,"Decano Higueras Del Castillo 65, 29620 Torremolinos Spain", La Carihuela,"Steakhouse, International",2.99 - 24.91,Sun : 12:00 AM - 12:15 AM,5.0,1070,"November 7, 2021",21,2.99,24.91,November 7, 2021,Cheap,Excellent
AQ,"C/ Les Coques, 7, 43003 Tarragona Spain", Amfiteatre de Tarragona,"Mediterranean, European, Spanish",24.91 - 49.83,"Sun - Sat : 1:30 PM - 3:15 PM,  8:45 PM - 10:30 PM",4.5,654,"October 18, 2021",17,24.91,49.83,October 18, 2021,Average,Excellent
El Vergel Veggie Restaurant,"Carrer Major 13, 43003 Tarragona Spain", Amfiteatre de Tarragona,"Healthy, Mediterranean, European, Spanish, International",7.97 - 16.94,"Thu - Mon : 8:30 PM - 10:30 PM
Thu - Tue : 1:00 PM - 4:00 PM",4.5,1093,"January 8, 2022",19,7.97,16.94,January 8, 2022,Cheap,Excellent
Sadoll Restaurant,"Calle Talavera, 25 Carrer De La Mare De Deu De La Merce N 1, 43003 Tarragona Spain", Amfiteatre de Tarragona,"Mediterranean, European, Spanish",14.95 - 29.89,"Tue - Sat : 1:30 PM - 3:30 PM
Fri - Sat : 9:00 PM - 10:30 PM",4.5,235,"September 1, 2018",20,14.95,29.89,September 1, 2018,Average,Excellent
Braseria Taula Rodona,"Carrer la Nau, 4, 43003 Tarragona Spain", Amfiteatre de Tarragona,"Steakhouse, Mediterranean, Barbecue, European, Spanish",11.96 - 49.83,"Sun : 1:00 PM - 4:00 PM
Tue - Wed : 1:00 PM - 4:00 PM
Thu - Sat : 1:30 PM - 4:00 PM,  9:00 PM - 11:00 PM",4.5,384,"July 30, 2021",21,11.96,49.83,July 30, 2021,Average,Excellent
La Taverna del A3mans,"Carrer Cos del Bou,4, 43003 Tarragona Spain", Amfiteatre de Tarragona,"Mediterranean, European, Spanish, International, Fusion",14.95 - 39.86,"Sun : 12:00 PM - 4:00 PM
Tue - Sat : 12:00 PM - 9:00 PM",4.5,174,"September 26, 2020",22,14.95,39.86,September 26, 2020,Average,Excellent
El Tiberi,"5 Marti D´ardenya, Al lado del Palacio de Congresos de la ciudad, 43001 Tarragona Spain", Amfiteatre de Tarragona,"Mediterranean, Spanish, Healthy, Catalan",14.95 - 19.93,Tue - Sun : 1:00 PM - 4:00 PM,4.0,553,"December 30, 2019",26,14.95,19.93,December 30, 2019,Average,Excellent
El Pòsit del Serrallo,"Moll de Pescadors, 25 Edifici del Pòsit de Pescadors, 43004 Tarragona Spain", Amfiteatre de Tarragona,"Seafood, Mediterranean, Spanish, Healthy, Catalan",19.93 - 99.66,"Sun - Sat : 1:00 PM - 4:00 PM,  8:00 PM - 11:30 PM",4.0,773,"September 16, 2021",4,19.93,99.66,September 16, 2021,Average,Excellent
Casa Balcells,"Pla de la Seu nº5, 43003 Tarragona Spain", Amfiteatre de Tarragona,"Mediterranean, European, Spanish",19.93 - 39.86,"Sun - Wed : 12:00 PM - 5:00 PM
Thu - Sat : 12:00 PM - 12:00 AM",4.5,206,"November 10, 2021",29,19.93,39.86,November 10, 2021,Average,Excellent
Misura,"Paseo de Miramón, 162, 20014 San Sebastian - Donostia Spain", La Concha Beach,"Mediterranean, European, Spanish, Healthy",24.91 - 94.67,"Wed - Sun : 1:00 PM - 3:30 PM
Fri - Sat : 8:00 PM - 10:30 PM",4.5,248,"January 19, 2021",9,24.91,94.67,January 19, 2021,Average,Excellent
Agorregi jatetxea,"Portuetxe kalea, 14, 20018 San Sebastian - Donostia Spain", La Concha Beach,"European, Spanish, Contemporary",22.08 - 63.59,"Mon : 8:30 PM - 11:00 PM
Mon - Sat : 9:00 AM - 5:00 PM
Thu - Sat : 8:30 PM - 11:00 PM",4.5,599,"August 13, 2021",7,22.08,63.59,August 13, 2021,Average,Excellent
Mala Gissona Beer House Gros,"C/ Zabaleta 53, 20002 San Sebastian - Donostia Spain", La Concha Beach,Bar,3.98 - 14.95,"Sun : 12:00 PM - 12:00 AM
Mon - Wed : 5:00 PM - 12:00 AM
Thu - Fri : 1:00 PM - 1:00 AM
Sat : 12:00 PM - 1:00 AM",4.5,191,"August 15, 2020",13,3.98,14.95,August 15, 2020,Cheap,Excellent
Bully,"Paseo De Las Aves, 5, 20009 San Sebastian - Donostia Spain", La Concha Beach,"Bar, Mediterranean, European, Spanish",9.96 - 29.89,Mon : 9:00 AM - 9:15 AM,4.5,680,"November 1, 2019",14,9.96,29.89,November 1, 2019,Cheap,Excellent
New Friends Bar and Restaurant,"Avda.Las palmeras Local 16, 29630, Benalmadena Spain", La Carihuela,"Bar, European, British",2.0 - 24.91,"Sun : 5:30 PM - 11:30 PM
Tue - Sat : 5:30 PM - 11:00 PM",5.0,332,"September 5, 2020",16,2.0,24.91,September 5, 2020,Cheap,Excellent
Panorama Bistro Bar,"Avenida de Antonio Machado 57 Las gaviotas local 22, 29630, Benalmadena Spain", La Carihuela,"Bar, Mediterranean, European, Spanish",6.97 - 20.93,Tue - Sun : 12:00 PM - 9:30 PM,4.5,553,"October 22, 2021",19,6.97,20.93,October 22, 2021,Cheap,Excellent
Cinnamon Club,"Calle de la Darsena 3 Local B, 29630, Benalmadena Spain", La Carihuela,"Indian, Balti",5.98 - 19.93,Sun - Sat : 1:30 PM - 11:30 PM,4.5,893,"January 24, 2022",17,5.98,19.93,January 24, 2022,Cheap,Excellent
Restaurant Kathmandu 2,"Pasaje del Aguila 1 Puerta C5, 29630, Benalmadena Spain", La Carihuela,"Indian, Asian, Nepali",12.96 - 19.93,"Sun - Sat : 6:30 PM - 11:30 PM
Thu - Tue : 1:00 PM - 3:30 PM",4.5,307,"December 6, 2021",18,12.96,19.93,December 6, 2021,Average,Excellent
The Japo,"Playa Del Higuerón, Av. Del Sol 225, 29631, Benalmadena Spain", Los Boliches,"Japanese, Sushi, Healthy, Mediterranean, Asian",49.83 - 69.76,"Sun - Sat : 7:00 PM - 12:00 AM
Fri - Sun : 1:00 PM - 4:00 PM",5.0,61,"January 4, 2022",20,49.83,69.76,January 4, 2022,Average,Excellent
The Lilac Tree Restaurant & Bar,"Calle de San José Pasaje. Jiménez Martín, 2, 29639, Benalmadena Spain", Puerto Marina Benalmadena,"Bar, Mediterranean, European, British, Fusion, International",2.99 - 19.93,"Wed - Fri : 1:00 PM - 11:30 PM
Sat - Sun : 12:30 PM - 11:30 PM",4.5,204,"October 16, 2021",21,2.99,19.93,October 16, 2021,Cheap,Excellent
ANGUS Torrequebrada,"Avenida Sol 5 Paseo Maritimo Sunset Beach, Ground Floor, 29630, Benalmadena Spain", Puerto Marina Benalmadena,"Steakhouse, Barbecue, Grill",9.96 - 29.89,"Sun : 1:00 PM - 10:00 PM
Tue : 7:00 PM - 11:00 PM
Wed - Sat : 2:00 PM - 11:00 PM",4.5,605,"January 14, 2022",22,9.96,29.89,January 14, 2022,Cheap,Excellent
Raju's Indian City,"Avenida Antonio Machado 4 Urbanizacion Los Porches, 29630, Benalmadena Spain", La Carihuela,"Indian, Balti",14.95 - 29.89,"Thu - Tue : 1:30 PM - 3:30 PM,  7:00 PM - 11:30 PM",4.5,536,"November 6, 2021",24,14.95,29.89,November 6, 2021,Average,Excellent
Pizza Palace,"Calle La Fragata, 29630, Benalmadena Spain", La Carihuela,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian",3.98 - 17.94,"Sun - Wed : 1:00 PM - 11:00 PM
Fri - Sat : 1:00 PM - 12:00 AM",4.5,282,"September 21, 2021",23,3.98,17.94,September 21, 2021,Cheap,Excellent
De Cai Ajopicao,"Calle de Casablanca 20 Local 6, 29620 Torremolinos Spain", La Carihuela,"Brew Pub, Gastropub",0.06 - 0.12,"Mon - Tue : 7:30 PM - 11:30 PM
Thu - Tue : 1:30 PM - 4:00 PM
Thu : 7:30 PM - 11:30 PM
Fri - Sat : 8:00 PM - 11:30 PM",4.5,273,"September 9, 2021",23,0.06,0.12,September 9, 2021,Cheap,Excellent
Vinoteca Moncloa,"Avenida gamonal Plaza Nueva Bonanza, Local 14, 29630, Benalmadena Spain", La Carihuela,"Mediterranean, European, Spanish, Wine Bar",4.99 - 19.93,Mon - Sat : 4:00 PM - 12:00 AM,4.5,317,"December 5, 2021",25,4.99,19.93,December 5, 2021,Cheap,Excellent
Patagonia Express,"Calle Decano Huigueras Del Castillo, 61, 29620 Torremolinos Spain", La Carihuela,"Steakhouse, Barbecue, Argentinean",4.99 - 22.92,"Tue - Thu : 6:00 PM - 12:00 AM
Fri - Sun : 1:00 PM - 4:00 PM,  6:30 PM - 11:45 PM",5.0,186,"January 27, 2022",24,4.99,22.92,January 27, 2022,Cheap,Excellent
La Piazzetta,"Calle Skal Calle Casablanca, Plaza Pueblo Blanco n 11, 29620 Torremolinos Spain", La Carihuela,"Italian, Pizza, Mediterranean, Sicilian, Southern-Italian",2.99 - 19.93,Sun : 9:00 AM - 10:00 AM,4.5,1000,"August 26, 2021",25,2.99,19.93,August 26, 2021,Cheap,Excellent
